date,video,video_title,subscribers
2007-12-13,CZQBHFp6ZzM,Desarrollo de aplicaciones sobre la red blockchain Etherum. Dapps.,0
2007-12-14,CZQBHFp6ZzM,Desarrollo de aplicaciones sobre la red blockchain Etherum. Dapps.,0
2007-12-15,CZQBHFp6ZzM,Desarrollo de aplicaciones sobre la red blockchain Etherum. Dapps.,0
2007-12-16,CZQBHFp6ZzM,Desarrollo de aplicaciones sobre la red blockchain Etherum. Dapps.,0
2007-12-17,CZQBHFp6ZzM,Desarrollo de aplicaciones sobre la red blockchain Etherum. Dapps.,0
2007-12-18,CZQBHFp6ZzM,Desarrollo de aplicaciones sobre la red blockchain Etherum. Dapps.,0
2007-12-19,CZQBHFp6ZzM,Desarrollo de aplicaciones sobre la red blockchain Etherum. Dapps.,0
2007-12-20,CZQBHFp6ZzM,Desarrollo de aplicaciones sobre la red blockchain Etherum. Dapps.,0
2007-12-21,CZQBHFp6ZzM,Desarrollo de aplicaciones sobre la red blockchain Etherum. Dapps.,0
2007-12-22,CZQBHFp6ZzM,Desarrollo de aplicaciones sobre la red blockchain Etherum. Dapps.,0
2007-12-23,CZQBHFp6ZzM,Desarrollo de aplicaciones sobre la red blockchain Etherum. Dapps.,0
2007-12-24,CZQBHFp6ZzM,Desarrollo de aplicaciones sobre la red blockchain Etherum. Dapps.,0
2007-12-25,CZQBHFp6ZzM,Desarrollo de aplicaciones sobre la red blockchain Etherum. Dapps.,0
